Key,English,Russian,Hindi,Spanish,Portuguese
Logotype,Puzzles for Kids Funny Animals!,Пазлы для детей Забавные животные!,बच्चों के लिए पहेलियाँ अजीब जानवर!,Puzzles para niños animales divertidos!,Quebra-cabeças para crianças Animais engraçados!
Logo.Shade,Puzzles for Kids Funny Animals!,Пазлы для детей Забавные животные!,बच्चों के लिए पहेलियाँ अजीब जानवर!,Puzzles para niños animales divertidos!,Quebra-cabeças para crianças Animais engraçados!
Settings.Title,Settings,Настройки,सेटिंग्स,Ajustes,Definições
Settings.Language,Choose language:,Выберите язык:,भाषा चुनें:,Elige lengua:,Escolha o seu idioma:
Settings.Eng,English,English,English,English,English
Settings.Rus,Русский,Русский,Русский,Русский,Русский
Settings.Es,Español,Español,Español,Español,Español
Settings.Pt,Português,Português,Português,Português,Português
Settings.Hi,हिन्दी,हिन्दी,हिन्दी,हिन्दी,हिन्दी
Settings.Music,Music:,Музыка,संगीत:,Música:,Música:
Settings.Sound,Sound:,Звуки,ध्वनि:,Sonar:,Som:
FullGame.Title,Full Game,Полная версия,पूरा खेल,Juego completo,Jogo completo
FullGame.Text,Buy the full game, unlock all animals and permanently disable all ads!,Загрузите полную версию игры — доступны все животные и никакой рекламы!,पूरा गेम खरीदें सभी जानवरों को अनलॉक करें और सभी विज्ञापनों को स्थायी रूप से अक्षम करें!,Compra el juego completo: ¡desbloquea todos los animales y desactiva permanentemente todos los anuncios!,Compre o jogo completo desbloqueie todos os animais e desative permanentemente todos os anúncios!
FullGame.BuyButton,Buy now!,Загрузить!,अभी खरीदें!,¡Compra ahora!,Compre!
FullGame.CloseButton,Close,Закрыть,बंद करे,Cerrar,Perto
Review.Title,Some carrot for bunny,Оценить игру,बनी के लिए कुछ गाजर,Un poco de zanahoria para conejito,Alguma cenoura para coelho
Review.Text,If you liked the app please post a review of it! We and the bunny will greatly appreciate it!,Если вам понравилась игра пожалуйста напишите ваш отзыв в PlayMarket -  мы будем очень рады!,यदि आपको ऐप पसंद आया है तो कृपया इसकी समीक्षा करें! हम और बनी बहुत सराहना करेंगे!,Si te gustó la aplicación por favor publica una reseña de ella! ¡Nosotros y el conejito lo apreciaremos grandemente!,Se você gostou do aplicativo por favor poste uma revisão dele! Nós e o coelho apreciaremos muito!
Review.Go,Review now!,Оценить,अब समीक्षा करें!,Revise ahora!,Revise agora!
Review.Close,Close,Закрыть,बंद करे,Cerrar,Perto
About.Title,About,Об игре,के बारे में,Acerca de,Sobre
About.Text,Any suggestions or technical difficulties? Write to our support team and we will answer you:,Есть предложения или возникли технические сложности? Напишите в нашу службу поддержки и мы обязательно вам ответим:,किसी भी सुझाव या तकनीकी कठिनाइयों? हमारी समर्थन टीम को लिखें और हम आपको जवाब देंगे।:,¿Alguna sugerencia o dificultad técnica? Escriba a nuestro equipo de soporte y le responderemos:,Alguma sugestão ou dificuldades técnicas? Escreva para nossa equipe de suporte e nós responderemos:
About.OK,OK,Закрыть,ठीक,DE ACUERDO,Está bem
Animal.Bat,Bat,Летучая мышь,बाट,Bate,Morcego
Animal.Bear,Bear,Медведь,भालू,Oso,Urso
Animal.Cat,Cat,Кошка,बिल्ली,Gato,Gato
Animal.Chameleon,Chameleon,Хамелеон,गिरगिट,Camaleón,Camaleao
Animal.Cheetah,Cheetah,Гепард,तेंदुए,Leopard,Leopardo
Animal.Cow,Cow,Корова,गाय,Vaca,Boi
Animal.Dog,Dog,Собака,कुत्ता,Perro,Cao
Animal.Donkey,Donkey,Осёл,गधा,Burro,Burro
Animal.Eagle,Eagle,Орёл,ईगल,Águila,Aguia
Animal.Elephant,Elephant,Слон,हाथी,Elefante,Elefante
Animal.Fish,Fish,Рыба,मछली,Pescado,Peixe
Animal.Fox,Fox,Лиса,लोमड़ी,Fox,Raposa
Animal.Hamster,Hamster,Хомяк,हम्सटर,Hámster,Hamster
Animal.Hedgehog,Hedgehog,Ёж,हेजहॉग,Erizo,Ourico
Animal.Jiraffe,Jiraffe,Жираф,जिराफ,Giraffe,Girafa
Animal.Lemur,Lemur,Лемур,लेमुर,Lémur,Lemur
Animal.Leo,Lion,Лев,शेर,Leones,Leão
Animal.Monkey,Monkey,Обезьяна,बंदर,Mono,Macaco
Animal.Owl,Owl,Сова,उल्लू,Buho,Coruja
Animal.Panda,Panda,Панда,पांडा,Panda,Panda
Animal.Parrot,Parrot,Попугай,तोता,Loro,Papagaio
Animal.Penguin,Penguin,Пингвин,पेंगुइन,Pingüino,Pinguim
Animal.Pig,Pig,Свинья,सुअर,Cerdo,Porco
Animal.Rabbit,Rabbit,Кролик,खरगोश,Liebre,Lebre
Animal.Racoon,Racoon,Енот,एक प्रकार का जानवर,Mapache,Guaxinim
Animal.Sloth,Sloth,Ленивец,स्लॉथ,Perezoso,Preguiça
Animal.Squirrel,Squirrel,Белка,गिलहरी,Ardilla,Esquilo
Animal.Tiger,Tiger,Тигр,दजला,Tigris,Tigris
Animal.Turtle,Turtle,Черепаха,कछुआ,Tortuga,Tartaruga
Animal.Whale,Whale,Кит,व्हेल,Ballena,Baleia
Onboarding.Next,Next,Далее,आगामी,Siguiente,Próximo
Onboarding.Hello,"Hi!
Look what I'll teach you!","Привет!
Смотри чему я научу тебя!","हाय!
मैं तुम्हें सिखाऊँगा क्या देखो!","¡Hola!
¡Mira lo que te voy a enseñar!","Olá!
Olha o que te vou ensinar!"
Onboarding.Teach,I'll teach you to recognize animals!,Я научу тебя узнавать животных!,मैं जानवरों को पहचान करने के लिए तुम्हें सिखाऊँगा!,¡Te enseñaré a reconocer animales!,Vou ensinar-te a reconhecer animais!
EP.Top,Puzzles for kids,Пазлы для детей,बच्चों के लिए पहेलियाँ,Puzzles para niños,Quebra-cabeças para crianças
EP.About,"The game develops intelligence, perseverance, accuracy, patience!
Will teach to recognize and show animals!
No ads!
Your child will thank you!","Игра развивает интеллект,усидчивость,аккуратность,терпение!
Игра научит узнавать животных!
Никакой рекламы!
Ваш ребенок скажет Вам спасибо!","खेल खुफिया, दृढ़ता, सटीकता, धैर्य विकसित करता है!
पहचान और जानवरों को दिखाने के लिए सिखाना होगा!
कोई विज्ञापन नहीं!
अपने बच्चे को धन्यवाद करेंगे!","El juego desarrolla la inteligencia, la perseverancia, la precisión, la paciencia!
Enseñará a reconocer y Mostrar animales!
Sin anuncios!
¡Tu hijo te lo agradecerá!","O jogo desenvolve inteligência, perseverança, precisão, paciência!
Vai ensinar a reconhecer e mostrar animais!
Nada de anúncios!
O teu filho vai agradecer-te!"
EP.BestPrice,Best price!,Лучшая цена!,सर्वोत्तम मूल्य!,El mejor precio!,Melhor preço!
EP.Month,month,месяц,माह,mes,mês
